id,revenue
3001,37623939.28029214
3002,12159550.905760366
3003,12457062.301342068
3004,20081713.00524688
3005,13113549.487011958
3006,12286731.121642597
3007,12330149.614875784
3008,79648905.11795911
3009,38329503.0284535
3010,437378822.72458196
3011,13113549.487011958
3012,12183941.466424491
3013,49711324.89934887
3014,12306849.950633366
3015,44215504.390642315
3016,12159550.905760366
3017,129582262.50680438
3018,172517283.77493453
3019,12159550.905760366
3020,396391471.3236675
3021,62992859.559195444
3022,47642930.98207187
3023,11989219.726060895
3024,56569423.12354961
3025,12228594.799749969
3026,70719115.06586851
3027,17312039.838765983
3028,83724061.08885889
3029,31816026.645562936
3030,70178831.27315007
3031,15196170.718346313
3032,13284148.19612737
3033,11989219.726060895
3034,12058263.620050497
3035,12088972.132911181
3036,19164217.62155144
3037,81066104.02737404
3038,36175910.9175562
3039,32943607.101522747
3040,12228594.799749969
3041,32007533.27859005
3042,12159550.905760366
3043,41229204.10834549
3044,18427422.18055752
3045,449089441.4579039
3046,12228594.799749969
3047,12702502.527236512
3048,38685410.38021468
3049,34289133.73877628
3050,54146734.16566427
3051,12159550.905760366
3052,42869118.292041466
3053,12159550.905760366
3054,12330149.614875784
3055,69822787.62516265
3056,12183941.466424491
3057,89073931.26349393
3058,261932663.02502128
3059,12183941.466424491
3060,85908861.19654018
3061,77434768.80944195
3062,16769090.242459275
3063,41905796.67687211
3064,116512206.51386376
3065,43109288.207314834
3066,85067951.26020867
3067,12457062.301342068
3068,76959299.83836988
3069,220236221.8397018
3070,12228594.799749969
3071,14701615.54498646
3072,336295063.65915006
3073,12159550.905760366
3074,12058263.620050497
3075,38283379.27781257
3076,221669277.2845872
3077,30188906.770873774
3078,136879224.40992072
3079,72080100.59641635
3080,217942601.58752263
3081,15441569.349795034
3082,12259303.31261065
3083,33278314.34488388
3084,12159550.905760366
3085,59982898.44875178
3086,80197159.5244767
3087,12159550.905760366
3088,11989219.726060895
3089,12228594.799749969
3090,47111491.21438163
3091,57210464.97194431
3092,12259303.31261065
3093,161033918.02374166
3094,92040086.6246497
3095,53622241.82603942
3096,13552991.143403701
3097,786790878.1703018
3098,50602133.520674445
3099,78804367.48276985
3100,12771546.421226112
3101,12702502.527236512
3102,12771546.421226112
3103,12183941.466424491
3104,12159550.905760366
3105,125071143.41249487
3106,128491574.93489383
3107,45086464.40082535
3108,22677006.94849621
3109,12259303.31261065
3110,298824788.9400137
3111,26994610.81153391
3112,12330149.614875784
3113,18191061.164110545
3114,22092590.76991074
3115,20192122.15675644
3116,18797684.96554142
3117,12330149.614875784
3118,12259303.31261065
3119,214990064.94520095
3120,159484880.84691963
3121,32814834.991974916
3122,13551365.584621338
3123,16769090.242459275
3124,12158016.026900783
3125,12228594.799749969
3126,44215504.390642315
3127,12159550.905760366
3128,44556092.77915341
3129,151362777.08544087
3130,18968016.14524089
3131,12228594.799749969
3132,18420390.944163147
3133,12183941.466424491
3134,12702502.527236512
3135,32163574.24571656
3136,27254341.332170475
3137,147833382.49603125
3138,12477181.130332835
3139,40543797.37656587
3140,92695192.2843135
3141,31466707.63564979
3142,12159550.905760366
3143,142882687.16841826
3144,53535322.44843912
3145,13984158.800989145
3146,13012262.201302089
3147,20912668.82903935
3148,12702502.527236512
3149,168594216.52086118
3150,184265019.6472454
3151,14665146.249760715
3152,36440932.83806314
3153,12702502.527236512
3154,19325781.888196755
3155,38458063.19113503
3156,41843976.23681043
3157,15465281.195038585
3158,153667287.55362695
3159,12702502.527236512
3160,13113549.487011958
3161,12183941.466424491
3162,13685118.336305404
3163,83000754.35915118
3164,11989219.726060895
3165,12228594.799749969
3166,12330149.614875784
3167,65127826.05894205
3168,12114897.572434891
3169,15289505.073210113
3170,14852476.920337092
3171,13984158.800989145
3172,52920491.10286288
3173,13137940.04767608
3174,12330149.614875784
3175,34135695.55180017
3176,70615571.19989973
3177,109340562.22584191
3178,16257293.05401119
3179,12812944.30128277
3180,12457062.301342068
3181,12958426.815457188
3182,110995071.34036489
3183,71718932.94429481
3184,56211760.591031134
3185,123927381.97358198
3186,99092998.00020844
3187,12873101.23635193
3188,32178342.158513393
3189,88765545.25370367
3190,49886882.42931168
3191,20912668.82903935
3192,39865453.277936146
3193,186757888.43105942
3194,84226332.46891625
3195,12228594.799749969
3196,12328347.206600254
3197,16574271.878108544
3198,201527374.93276688
3199,370937717.40268296
3200,30895910.615892064
3201,44371131.47582309
3202,16969041.910680544
3203,12159550.905760366
3204,12228594.799749969
3205,12228594.799749969
3206,18440164.200827833
3207,54316173.80899041
3208,18224599.60670327
3209,15537671.345232451
3210,497364479.382339
3211,12228594.799749969
3212,54444590.43130596
3213,52456635.6201102
3214,16212120.000277972
3215,16257293.05401119
3216,28035336.89038411
3217,435664524.28272456
3218,32987109.736194167
3219,12405699.304092396
3220,81626743.70000447
3221,13828435.667028511
3222,11989219.726060895
3223,12457062.301342068
3224,11989219.726060895
3225,12259303.31261065
3226,14108515.875090979
3227,81328804.99170864
3228,325275000.2280153
3229,178816764.20264417
3230,64060468.125453025
3231,38161343.228145085
3232,19302862.15271168
3233,36279270.39480336
3234,12532171.347537043
3235,15289505.073210113
3236,12546225.024322435
3237,38458063.19113503
3238,21249934.20654667
3239,12159550.905760366
3240,387169242.6794532
3241,12228594.799749969
3242,12228594.799749969
3243,12159550.905760366
3244,12183941.466424491
3245,13325187.409898229
3246,42233676.3087165
3247,26717775.637799796
3248,68314127.37906715
3249,62016102.21713729
3250,313692794.72320676
